,year,target_area,no_of_place,sleepnights,accommodation,number_of_ppl,number_of_children,cost_total_trip,cost_total_per_person,satisfied,sex,age,month,living_area,target_beforesplit,transportation,reason,relationship,target_1,target_2,target_3,target_4,target_5,target_6,target_7,target_8,target_9,target_10,target_11,target_12,target_14,target_15,target_16,target_17,target_area1,target_area2,target_area3,target_area4,target_area5,target_area6,target_area7,target_area8,target_area9,target_area10,target_area11,transportation1,transportation2,transportation3,reason1,reason2,reason3,accommodation_1,accommodation_2,accommodation_3,accommodation_4,accommodation_5,accommodation_6,accommodation_7,accommodation_8,accommodation_9,accommodation_10,accommodation_11,accommodation_12,accommodation_13,accommodation_14
1062,2020.0,31100,1,0,0,2.0,0.0,50000.0,25000.0,3.0,1.0,38.0,11.0,1.0,6,1,4,3,,,,,,1.0,,,,,,,,,,,31100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1063,2020.0,"33360,33390",2,2,3,3.0,0.0,430002.0,143334.0,4.0,2.0,38.0,11.0,1.0,"1,6",1,"11,4,2",3,1.0,,,,,1.0,,,,,,,,,,,33360,33390,,,,,,,,,,,,,,,,3.0,3.0,,,,,,,,,,,,
1064,2020.0,"32030,32030",2,1,4,2.0,0.0,330000.0,165000.0,5.0,1.0,27.0,11.0,1.0,"1,2,6",1,"12,2,1",3,1.0,1.0,,,,1.0,,,,,,,,,,,32030,32030,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,
1065,2020.0,"31040,31010",2,"0,0",,2.0,0.0,80000.0,40000.0,4.0,1.0,34.0,11.0,1.0,"1,6",1,"4,8",1,1.0,,,,,1.0,,,,,,,,,,,31040,31010,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
1066,2020.0,31230,1,0,0,4.0,0.0,130000.0,32500.0,4.0,1.0,62.0,12.0,1.0,"1,6",1,11,3,1.0,,,,,1.0,,,,,,,,,,,31230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1067,2020.0,31240,1,0,0,2.0,0.0,80000.0,40000.0,4.0,1.0,29.0,12.0,1.0,"1,6",1,"5,4",3,1.0,,,,,1.0,,,,,,,,,,,31240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1068,2020.0,31270,1,0,0,2.0,0.0,75000.0,37500.0,4.0,2.0,28.0,12.0,1.0,"1,6",1,"4,5",3,1.0,,,,,1.0,,,,,,,,,,,31270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1069,2020.0,32010,1,0,0,2.0,0.0,142000.0,71000.0,4.0,1.0,35.0,12.0,1.0,"1,6","1,4","1,2",3,1.0,,,,,1.0,,,,,,,,,,,32010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1070,2020.0,"39010,39020,39020",3,2,"3,3",4.0,0.0,1650000.0,412500.0,5.0,2.0,27.0,1.0,1.0,"1,2,6","6,3,8","2,12",3,1.0,1.0,,,,1.0,,,,,,,,,,,39010,39020,39020,,,,,,,,,,,,,,,3.0,3.0,,,,,,,,,,,,
1071,2020.0,32310,1,1,10,4.0,0.0,300000.0,75000.0,5.0,1.0,23.0,1.0,1.0,"5,6",6,"2,12",3,,,,,1.0,1.0,,,,,,,,,,,32310,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,
1072,2020.0,"35380,35380",2,1,12,4.0,0.0,305000.0,106250.0,4.0,1.0,52.0,1.0,1.0,"1,6",1,"6,5,1",1,1.0,,,,,1.0,,,,,,,,,,,35380,35380,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,
1073,2020.0,"32040,32040",2,1,3,2.0,0.0,300000.0,150000.0,4.0,1.0,28.0,1.0,1.0,"1,6",1,"12,1,6",3,1.0,,,,,1.0,,,,,,,,,,,32040,32040,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,
1074,2020.0,31380,1,0,0,2.0,0.0,90000.0,45000.0,4.0,2.0,27.0,1.0,1.0,"1,2",1,"2,4",3,1.0,1.0,,,,,,,,,,,,,,,31380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1075,2020.0,32010,1,0,0,2.0,0.0,117000.0,58500.0,4.0,1.0,28.0,2.0,1.0,"1,6",1,"4,2",3,1.0,,,,,1.0,,,,,,,,,,,32010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1076,2020.0,32010,1,0,0,5.0,0.0,200000.0,40000.0,4.0,1.0,46.0,2.0,1.0,"1,6",1,"4,5",4,1.0,,,,,1.0,,,,,,,,,,,32010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1077,2020.0,31200,1,0,0,2.0,0.0,90000.0,45000.0,4.0,2.0,28.0,2.0,1.0,"1,6",1,"4,2",3,1.0,,,,,1.0,,,,,,,,,,,31200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
