,sex,age,area,q1,q3,q6,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,target_q7
26,2.0,2.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,6.0,3.0,2.0,1.0,3.0,4.0,3.0,1.0,1.0,1.0,4.0,해수욕장이나 바다
27,2.0,2.0,2.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,2.0,6.0,1.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,해수욕장이나 바다
28,2.0,2.0,5.0,1.0,1.0,1.0,3.0,1.0,2.0,5.0,2.0,2.0,3.0,3.0,4.0,2.0,2.0,2.0,1.0,1.0,"강이나 계곡, 유원지 등"
29,2.0,3.0,3.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,4.0,해수욕장이나 바다
30,2.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,5.0,2.0,1.0,1.0,3.0,1.0,해수욕장이나 바다
31,2.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,1.0,2.0,6.0,4.0,해수욕장이나 바다
32,2.0,2.0,3.0,1.0,1.0,1.0,1.0,4.0,1.0,3.0,3.0,8.0,1.0,1.0,3.0,2.0,2.0,1.0,3.0,1.0,해수욕장이나 바다
33,2.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,4.0,2.0,5.0,1.0,2.0,2.0,3.0,2.0,5.0,6.0,1.0,문화유적지
34,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,2.0,3.0,1.0,1.0,1.0,"강이나 계곡, 유원지 등"
35,1.0,2.0,1.0,1.0,1.0,1.0,3.0,5.0,1.0,6.0,3.0,2.0,3.0,3.0,1.0,3.0,1.0,1.0,5.0,1.0,해수욕장이나 바다
36,2.0,4.0,5.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,2.0,3.0,3.0,2.0,4.0,2.0,2.0,1.0,5.0,1.0,"강이나 계곡, 유원지 등"
37,2.0,2.0,6.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,"강이나 계곡, 유원지 등"
38,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,3.0,2.0,5.0,2.0,1.0,산이나 국립공원
39,2.0,2.0,4.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,해수욕장이나 바다
40,2.0,2.0,6.0,1.0,1.0,1.0,4.0,1.0,3.0,6.0,3.0,1.0,1.0,2.0,5.0,1.0,1.0,5.0,6.0,1.0,"강이나 계곡, 유원지 등"
41,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,5.0,1.0,해수욕장이나 바다
42,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,3.0,1.0,2.0,1.0,3.0,2.0,2.0,5.0,4.0,해수욕장이나 바다
43,1.0,3.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,3.0,2.0,3.0,1.0,4.0,6.0,2.0,1.0,1.0,4.0,1.0,해수욕장이나 바다
44,2.0,2.0,5.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,2.0,3.0,2.0,3.0,4.0,1.0,1.0,2.0,5.0,1.0,기타
45,2.0,2.0,1.0,1.0,1.0,1.0,2.0,5.0,2.0,2.0,2.0,6.0,1.0,3.0,6.0,1.0,1.0,1.0,5.0,9.0,문화유적지
46,1.0,3.0,6.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,6.0,2.0,1.0,4.0,5.0,4.0,산이나 국립공원
47,2.0,3.0,6.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,4.0,1.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,"강이나 계곡, 유원지 등"
48,1.0,2.0,2.0,1.0,1.0,1.0,4.0,3.0,2.0,1.0,2.0,2.0,2.0,3.0,5.0,2.0,1.0,1.0,5.0,4.0,"강이나 계곡, 유원지 등"
49,1.0,3.0,1.0,1.0,1.0,1.0,3.0,4.0,2.0,1.0,2.0,5.0,2.0,3.0,6.0,2.0,1.0,6.0,1.0,1.0,문화유적지
50,2.0,2.0,5.0,1.0,1.0,1.0,1.0,3.0,2.0,4.0,2.0,1.0,2.0,3.0,3.0,2.0,2.0,1.0,5.0,1.0,해수욕장이나 바다
51,2.0,3.0,6.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,3.0,4.0,1.0,1.0,2.0,5.0,9.0,해수욕장이나 바다
52,2.0,4.0,1.0,1.0,1.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,1.0,2.0,4.0,3.0,2.0,1.0,3.0,4.0,"강이나 계곡, 유원지 등"
